request_id,arrival_time_ms,prompt_len,output_len,generated_tokens,prefill_start_time_ms,prefill_end_time_ms,kv_transfer_start_time_ms,kv_transfer_end_time_ms,first_token_time_ms,completion_time_ms,ttft_ms,tpot_ms,e2e_ms,status,prefill_replica,decode_replica
req_81,84378.98171938768,512,128,128,84378.98171938768,84534.81185272102,84534.81185272102,84545.15185272101,84598.96594286952,87826.2099762028,219.98422348183522,25.41137034120691,3447.228256815113,completed,0,0
req_82,85131.84313473543,512,128,128,85131.84313473543,85287.67326806877,85287.67326806877,85298.01326806877,85323.29794286953,88488.47887620279,191.45480813409085,24.92268451443515,3356.635741467355,completed,0,0
req_83,87309.20832695317,512,128,128,87309.20832695317,87465.03846028651,87465.03846028651,87475.3784602865,87505.36674286946,90648.20577620278,196.1584159162885,24.746764041994666,3338.9974492496112,completed,0,0
req_84,87339.38271555096,512,128,128,87465.03846028651,87620.86859361985,87620.86859361985,87631.20859361984,87678.94017620278,90822.02960953614,339.5574606518203,24.748735695538237,3482.6468939851766,completed,0,0
req_85,87802.10243977148,512,128,128,87802.10243977148,87957.93257310482,87957.93257310482,87968.27257310481,87999.08600953614,91141.89074286947,196.98356976466312,24.746493963254515,3339.7883030979865,completed,0,0
req_86,89089.42317954794,512,128,128,89089.42317954794,89245.25331288128,89245.25331288128,89255.59331288128,89280.42024286944,92435.0485762028,190.997063321498,24.839593175853196,3345.625396654854,completed,0,0
req_87,89550.38528922987,512,128,128,89550.38528922987,89706.21542256321,89706.21542256321,89716.55542256321,89746.66237620277,92907.64420953613,196.27708697289927,24.889620734908295,3357.2589203062525,completed,0,0
req_88,89802.10418588572,512,128,128,89802.10418588572,89957.93431921906,89957.93431921906,89968.27431921905,89994.1763095361,93156.67354286944,192.07212365037412,24.901553018372777,3354.5693569837167,completed,0,0
req_89,92167.36103550326,512,128,128,92167.36103550326,92323.1911688366,92323.1911688366,92333.53116883659,92361.0271762028,95505.1448095361,193.66614069954085,24.756831758529913,3337.7837740328396,completed,0,0
req_90,92827.85489717874,512,128,128,92827.85489717874,92983.68503051208,92983.68503051208,92994.02503051207,93032.77887620278,96177.94290953611,204.923979024039,24.76507112860893,3350.0880123573734,completed,0,0
req_91,92942.68639451974,512,128,128,92983.68503051208,93139.51516384541,93139.51516384541,93149.85516384541,93181.30237620277,96326.34390953611,238.61598168303317,24.764106561679817,3383.65751501637,completed,0,0
req_92,93223.38477383342,512,128,128,93223.38477383342,93379.21490716675,93379.21490716675,93389.55490716675,93427.44100953611,96575.50104286945,204.0562357026938,24.787874278215295,3352.116269036036,completed,0,0
req_93,94119.00890491506,512,128,128,94119.00890491506,94274.83903824839,94274.83903824839,94285.17903824839,94330.88554286944,97486.85417620273,211.8766379543813,24.850146719159795,3367.845271287675,completed,0,0
req_94,94553.24915664701,512,128,128,94553.24915664701,94709.07928998035,94709.07928998035,94719.41928998035,94750.6342095361,97906.6032428694,197.38505288909073,24.850149868766128,3353.354086222389,completed,0,0
req_95,96457.16357899085,512,128,128,96457.16357899085,96612.99371232418,96612.99371232418,96623.33371232418,96650.48424286945,99783.59577620272,193.32066387860687,24.670169553805284,3326.432197211878,completed,0,0
req_96,96600.97187582217,512,128,128,96612.99371232418,96768.82384565752,96768.82384565752,96779.16384565752,96823.78097620278,99957.80570953607,222.80910038060392,24.67736010498658,3356.8338337138994,completed,0,0
req_97,97560.09737769456,512,128,128,97560.09737769456,97715.9275110279,97715.9275110279,97726.2675110279,97759.4824428694,100908.29657620275,199.3850651748362,24.79381207349093,3348.199198508184,completed,0,0
req_98,98646.21631971234,512,128,128,98646.21631971234,98802.04645304568,98802.04645304568,98812.38645304568,98847.92500953605,102001.89644286942,201.70868982370303,24.834420734908413,3355.6801231570716,completed,0,0
req_99,100437.86144050116,512,128,128,100437.86144050116,100593.6915738345,100593.6915738345,100604.0315738345,100635.1052095361,103794.29994286939,197.24376903493248,24.875549081364518,3356.438502368226,completed,0,0
req_100,100975.52028391726,512,128,128,100975.52028391726,101131.3504172506,101131.3504172506,101141.69041725059,101183.84784286942,104355.84167620273,208.32755895216542,24.97632939632529,3380.3213922854775,completed,0,0
req_101,102308.66224185984,512,128,128,102308.66224185984,102464.49237519318,102464.49237519318,102474.83237519317,102503.2171095361,105716.43644286942,194.55486767625553,25.300939632545884,3407.7742010095826,completed,0,0
req_102,102789.75185907925,512,128,128,102789.75185907925,102945.58199241258,102945.58199241258,102955.92199241258,102998.49247620274,106237.94750953608,208.74061712349067,25.507519947506665,3448.195650456837,completed,0,0
req_103,102993.06602483508,512,128,128,102993.06602483508,103148.89615816841,103148.89615816841,103159.23615816841,103194.61094286939,106444.96417620275,201.544918034313,25.593332545931943,3451.89815136767,completed,0,0
req_104,103040.16757792476,512,128,128,103148.89615816841,103433.76409150174,103433.76409150174,103444.10409150174,103491.0687428694,106754.55597620273,450.9011649446329,25.696749868766403,3714.388398277966,completed,0,0
req_105,103051.32599257666,512,128,128,103148.89615816841,103433.76409150174,103444.10409150174,103454.44409150173,103491.0687428694,106754.55597620273,439.7427502927312,25.696749868766403,3703.2299836260645,completed,0,0
req_106,103603.82351102604,512,128,128,103603.82351102604,103759.65364435938,103759.65364435938,103769.99364435938,103819.44717620272,107082.26690953606,215.62366517668124,25.691493963254626,3478.4433985100186,completed,0,0
req_107,103695.64953877126,512,128,128,103759.65364435938,103915.48377769272,103915.48377769272,103925.82377769271,103970.71987620273,107231.19280953609,275.07033743146167,25.67301522309738,3535.543270764829,completed,0,0
req_108,104051.19709696306,512,128,128,104051.19709696306,104207.0272302964,104207.0272302964,104217.3672302964,104251.24064286941,107501.63967620273,200.04354590634466,25.593693175852916,3450.442579239665,completed,0,0
req_109,105685.59554646799,512,128,128,105685.59554646799,105841.42567980132,105841.42567980132,105851.76567980132,105896.32727620276,109092.52630953606,210.7317297347763,25.166921522309405,3406.9307630680705,completed,0,0
req_110,105863.70352737914,512,128,128,105863.70352737914,106019.53366071248,106019.53366071248,106029.87366071247,106078.25800953609,109266.33714286938,214.55448215694923,25.10298530183692,3402.6336154902383,completed,0,0
req_111,106279.33229098163,512,128,128,106279.33229098163,106435.16242431497,106435.16242431497,106445.50242431497,106496.32704286941,109660.3591762027,216.99475188777433,24.913638845144074,3381.026885221072,completed,0,0
req_112,108383.62408584481,512,128,128,108383.62408584481,108539.45421917815,108539.45421917815,108549.79421917815,108595.06384286938,111744.80727620277,211.43975702456373,24.801129396325944,3361.1831903579587,completed,0,0
req_113,108561.65104925672,512,128,128,108561.65104925672,108717.48118259005,108717.48118259005,108727.82118259005,108767.66627620271,111919.43860953611,206.01522694599407,24.817104986877162,3357.787560279394,completed,0,0
req_114,108674.48239940248,512,128,128,108717.48118259005,108873.31131592339,108873.31131592339,108883.65131592339,108916.68897620273,112067.62260953613,242.20657680025033,24.810501049869345,3393.140210133657,completed,0,0
req_115,109001.20614704872,512,128,128,109001.20614704872,109157.03628038206,109157.03628038206,109167.37628038206,109216.32527620271,112366.24760953615,215.11912915398716,24.802538057743604,3365.0414624874247,completed,0,0
